dish_id,cross_id,genotype,date_fertilized,date_created,initial_count,check_date,fish_deaths,cumulative_deaths,remaining,survival_rate,days_since_fertilization,status,termination_date,termination_reason,responsible,in_beaker,room,water_changed,vol_water_changed
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250203,1,5,55,91.66666666666666,13,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250204,2,7,53,88.33333333333333,14,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_7,14783,Casper_HHMI,20250121,20250218,60,20250218,0,7,53,88.33333333333333,28,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250128,0,0,60,100.0,7,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250129,0,0,60,100.0,8,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250130,1,1,59,98.33333333333333,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250131,16,17,43,71.66666666666667,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250201,0,17,43,71.66666666666667,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250202,32,49,11,18.333333333333332,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250203,4,53,7,11.666666666666666,13,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250204,2,55,5,8.333333333333332,14,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_8,14783,Casper_HHMI,20250121,20250218,60,20250218,0,55,5,8.333333333333332,28,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250128,0,0,20,100.0,7,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250129,0,0,20,100.0,8,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250130,0,0,20,100.0,9,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250131,0,0,20,100.0,10,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250201,0,0,20,100.0,11,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250202,4,4,16,80.0,12,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250203,0,4,16,80.0,13,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250204,3,7,13,65.0,14,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14783_9,14783,Casper_HHMI,20250121,20250218,20,20250218,0,7,13,65.0,28,inactive,20250204,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_10,14841,Casper_HHMI,20250129,20250224,20,20250204,2,2,18,90.0,6,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_10,14841,Casper_HHMI,20250129,20250224,20,20250205,0,2,18,90.0,7,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_10,14841,Casper_HHMI,20250129,20250224,20,20250206,0,2,18,90.0,8,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_10,14841,Casper_HHMI,20250129,20250224,20,20250207,0,2,18,90.0,9,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_10,14841,Casper_HHMI,20250129,20250224,20,20250208,1,3,17,85.0,10,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_10,14841,Casper_HHMI,20250129,20250224,20,20250209,1,4,16,80.0,11,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_10,14841,Casper_HHMI,20250129,20250224,20,20250210,1,5,15,75.0,12,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_10,14841,Casper_HHMI,20250129,20250224,20,20250211,6,11,9,45.0,13,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_10,14841,Casper_HHMI,20250129,20250224,20,20250224,0,11,9,45.0,26,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_11,14841,Casper_HHMI,20250129,20250224,21,20250204,0,0,21,100.0,6,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_11,14841,Casper_HHMI,20250129,20250224,21,20250205,0,0,21,100.0,7,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_11,14841,Casper_HHMI,20250129,20250224,21,20250206,0,0,21,100.0,8,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_11,14841,Casper_HHMI,20250129,20250224,21,20250207,0,0,21,100.0,9,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_11,14841,Casper_HHMI,20250129,20250224,21,20250208,1,1,20,95.23809523809523,10,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_11,14841,Casper_HHMI,20250129,20250224,21,20250209,0,1,20,95.23809523809523,11,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_11,14841,Casper_HHMI,20250129,20250224,21,20250210,5,6,15,71.42857142857143,12,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_11,14841,Casper_HHMI,20250129,20250224,21,20250211,3,9,12,57.14285714285714,13,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_11,14841,Casper_HHMI,20250129,20250224,21,20250224,0,9,12,57.14285714285714,26,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,No,0
14841_12,14841,Casper_HHMI,20250129,20250224,141,20250204,0,0,141,100.0,6,inactive,20250211,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,150
14841_12,14841,Casper_HHMI,20250129,20250224,141,20250205,0,0,141,100.0,7,inactive,20250211,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,150
14841_12,14841,Casper_HHMI,20250129,20250224,141,20250206,0,0,141,100.0,8,inactive,20250211,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,150
14841_12,14841,Casper_HHMI,20250129,20250224,141,20250207,0,0,141,100.0,9,inactive,20250211,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,150
14841_12,14841,Casper_HHMI,20250129,20250224,141,20250208,37,37,104,73.75886524822694,10,inactive,20250211,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,150
14841_12,14841,Casper_HHMI,20250129,20250224,141,20250209,26,63,78,55.319148936170215,11,inactive,20250211,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,150
14841_12,14841,Casper_HHMI,20250129,20250224,141,20250210,57,120,21,14.893617021276595,12,inactive,20250211,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,150
14841_12,14841,Casper_HHMI,20250129,20250224,141,20250211,21,141,0,0.0,13,inactive,20250211,euthanasia,Jeremy Delahanty,Yes,2E.282,Yes,150
14841_12,14841,Casper_HHMI,20250129,20250224,141,20250224,0,141,0,0.0,26,inactive,20250211,euthanasia,Jeremy Delahanty,Yes,2E.282,No,0
14841_13,14841,Casper_HHMI,20250129,20250224,89,20250204,0,0,89,100.0,6,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_13,14841,Casper_HHMI,20250129,20250224,89,20250205,1,1,88,98.87640449438202,7,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_13,14841,Casper_HHMI,20250129,20250224,89,20250206,0,1,88,98.87640449438202,8,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_13,14841,Casper_HHMI,20250129,20250224,89,20250207,0,1,88,98.87640449438202,9,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_13,14841,Casper_HHMI,20250129,20250224,89,20250208,12,13,76,85.39325842696628,10,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_13,14841,Casper_HHMI,20250129,20250224,89,20250209,7,20,69,77.52808988764045,11,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_13,14841,Casper_HHMI,20250129,20250224,89,20250210,47,67,22,24.719101123595504,12,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_13,14841,Casper_HHMI,20250129,20250224,89,20250211,11,78,11,12.359550561797752,13,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,Yes,60
14841_13,14841,Casper_HHMI,20250129,20250224,89,20250224,0,78,11,12.359550561797752,26,inactive,20250211,euthanasia,Jeremy Delahanty,No,2E.282,No,0
