,dish_id,cross_id,genotype,date_fertilized,date_created,initial_count,check_date,fish_deaths,cumulative_deaths,remaining,survival_rate,days_since_fertilization,status,termination_date,termination_reason,responsible,in_beaker,vol_water_total,room,water_changed,vol_water_changed,date_fertilized_dt,date_created_dt,check_date_dt,termination_date_dt,mortality_rate,genotype_simple,fish_density,density_category,volume_per_fish
55,14783_2,14783,Casper_HHMI,20250121,20250218,20,20250204,0,7,13,65.0,14,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-04,2025-02-04,35.0,Casper,0.25,High (2-4mL/fish),4.0
56,14783_3,14783,Casper_HHMI,20250121,20250218,23,20250128,0,0,23,100.0,7,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-28,2025-02-04,0.0,Casper,0.2875,High (2-4mL/fish),3.4782608695652173
57,14783_3,14783,Casper_HHMI,20250121,20250218,23,20250129,0,0,23,100.0,8,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-29,2025-02-04,0.0,Casper,0.2875,High (2-4mL/fish),3.4782608695652173
58,14783_3,14783,Casper_HHMI,20250121,20250218,23,20250130,1,1,22,95.65217391304348,9,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-30,2025-02-04,4.3478260869565215,Casper,0.2875,High (2-4mL/fish),3.4782608695652173
59,14783_3,14783,Casper_HHMI,20250121,20250218,23,20250131,1,2,21,91.30434782608695,10,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-31,2025-02-04,8.695652173913043,Casper,0.2875,High (2-4mL/fish),3.4782608695652173
60,14783_3,14783,Casper_HHMI,20250121,20250218,23,20250201,0,2,21,91.30434782608695,11,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-01,2025-02-04,8.695652173913043,Casper,0.2875,High (2-4mL/fish),3.4782608695652173
61,14783_3,14783,Casper_HHMI,20250121,20250218,23,20250202,3,5,18,78.26086956521739,12,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-02,2025-02-04,21.73913043478261,Casper,0.2875,High (2-4mL/fish),3.4782608695652173
62,14783_3,14783,Casper_HHMI,20250121,20250218,23,20250203,5,10,13,56.52173913043478,13,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,0,2025-01-21,2025-02-18,2025-02-03,2025-02-04,43.47826086956522,Casper,0.2875,High (2-4mL/fish),3.4782608695652173
63,14783_3,14783,Casper_HHMI,20250121,20250218,23,20250204,2,12,11,47.82608695652174,14,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-02-04,2025-02-04,52.17391304347826,Casper,0.2875,High (2-4mL/fish),3.4782608695652173
64,14783_4,14783,Casper_HHMI,20250121,20250218,45,20250128,0,0,45,100.0,7,inactive,20250204.0,euthanasia,Jeremy Delahanty,No,80,"('2E.282',)",Yes,60,2025-01-21,2025-02-18,2025-01-28,2025-02-04,0.0,Casper,0.5625,Very High (<2mL/fish),1.7777777777777777
